kljuc;naziv
1133;Realizirana jamstva u društv. sa sud. interesima
114;Ulaganja u vrijednosne papire
1140;Čekovi (inozemni)
1141;Mjenice
1142;Komercijalni zapisi
11420;Komercijalni zapisi
11429;Diskont kod ulaganja u komercijale zapise
1143;Obveznice
1144;Blagajnički zapisi
1145;Zadužnice (iskupljene) – tražbina s temelja jamstva
1146;Ulaganja u vrijednosne papire (HSFI 9)
11460;Ulaganja u udjele (dionice) namijenjene trgovanju
11461;Ulaganja u ostale vrijednosne papire
1147;Ulaganja u vrijednosne papire (MSFI 9)
11470;Ulaganja u udjele (dionice) kroz račun dobiti i gubitka
11471;Ulaganja u ostale vrijednosne papire
1148;Ulaganja u udjele i dionice povezanih osoba koji nisu grupa ni sudjelujući interesi
1149;Ostali vrijednosni papiri
115;Dani zajmovi, depoziti i sl.
1150;Dani kratkotrajni zajmovi
11500;Zajmovi poduzetnicima
11501;Zajmovi ortacima
11502;Zajmovi obrtnicima
11503;Zajmovi podružnicama
11504;Zajmovi ustanovama
11505;Zajmovi dani u inozemstvo
11506;Zajmovi članovima uprave i zaposlenicima
11507;Zajmovi dani OPG-ima ili zadrugarima
11508;Zajmovi povezanim osobama koje nisu grupa ni društva povezana sudjelujućim interesom
11509;Ostali kratkotrajni zajmovi (npr. građanima)
1151;Depoziti (do jedne godine)
11510;Depoziti u bankama
11511;Depoziti u osiguravajućim društvima
11512;Depoziti u inozemnim financijskim institucijama
11513;Depoziti za ostale poslovne aktivnosti
1152;Kaucije i jamčevine (do jedne godine)
11520;Kaucije na aukcijama (dražbama)
11521;Kaucije za robu
11522;Kaucije za ambalažu
11523;Dane jamčevine za natječaje
11524;Potraživanja za kapare (čl. 303. ZOO-a)
11525;Polozi gotovine za ostale poslovne aktivnosti
11526;Potraživanja iz realiziranih danih jamstava
116;Potraživanja iz ulaganja u investicijske fondove
1160;Kratkotrajno ulaganje u novčane fondove
1161;Kratkotrajno ulaganje u investicijske (dioničke) i dr. fondove
117;Ostala financijska imovina
1170;Otkup kratkoročnih potraživanja (faktoring)
1171;Ulaganje u kratkotrajne eskontne poslove
1172;Potraživanja za više uplaćeno po kreditnoj kartici
1173;Potraživanja za isplate avaliranih ili indosiranih mjenica
1174;Potraživanja po isplaćenim garancijama
1175;Potraživanja iz preuzetog duga (čl. 96. ZOO)
1176;Potraživanje po asignacijama, novacijama i sl.
1177;Ulaganje u investicijsko zlato (kratkoročno)
1178;Ostala financijska imovina
118;Potraživanja u sporu (npr. utužena, u predstečaju ili u stečaju i sl. iz fin. imovine)
119;Vrijednosno usklađivanje financijske imovine – kratkotrajne (analitika po otpisima iz ove skupine računa)
12;POTRAŽIVANJA (KRATKOTRAJNA)
120;Potraživanja od kupaca
1200;Potraživanja od kupaca dobara
1201;Potraživanja od kupaca usluga (servisne, građenje i popravci, najmovi, ustupanje radne snage, kapaciteta i dr.)
1202;Potraživanja za prodaju prava
1203;Kupci građani i prodaja na potrošački kredit
1204;Kupci imovinskih sredstava, inventara, materijala, otpadaka i sl.
1205;Potraživanja od kupaca za prodanu robu iz komisije
1206;Kupci zastupničke (komisijske) i franšizne prodaje
1207;Potraživanja za prodaju na kartice
12070;Potraživanja za prodaju na kreditne kartice
12071;Potraživanja za napojnice naplaćene kreditnim karticama
12072;Potraživanja za prodaju na ostale kartice
1208;Potraživanja od kupaca povezanih osoba koje nisu grupa ni društva povezana sudjelujućim interesom
1209;Potraživanja za nefakturiranu isporuku dobara ili usluga
121;Kupci iz EU i iz trećih zemalja
1210;Kupci dobara iz EU
1211;Kupci dobara iz trećih zemalja
1212;Kupci usluga iz EU
1213;Kupci usluga iz trećih zemalja
1214;Kupci prava iz EU
1215;Kupci prava iz trećih zemalja
1216;Potraživanja od kupaca povezanih osoba iz EU koje nisu grupa ni društva povezana sudjelujućim interesom
1217;Potraživanja od kupaca povezanih osoba iz trećih zemalja koje nisu grupa ni društva povezana sudjelujućim interesom
122;Potraživanja od poduzetnika unutar grupe
1220;Potraživanja od poduzetnika unutar grupe za isporučene robe i usluge
1221;Ostala potraživanja od poduzetnika unutar grupe
12210;Potraživanja za dividendu – dobitak
12211;Potraživanja za kamatu
12212;Ostala potraživanja
123;Potraživanja od društava povezanih sudjelujućim interesom
1230;Potraživanja od društava povezanih sudjelujućim interesom za isporučene robe i usluge
1231;Ostala potraživanja od društava povezanih sudjelujućim interesom
12310;Potraživanja za dividendu – dobitak
12311;Potraživanja za kamatu
12312;Ostala potraživanja
124;Potraživanja za kamate
1240;Potraživanja za ugovorene kamate (koje nisu pripisane glavnici)
1241;Potraživanja za zatezne kamate (koje nisu pripisane glavnici)
1242;Potraživanja za kamate po nagodbama
1243;Potraživanje za kamatu iz danih zajmova
1245;Kamate iz ostalih tražbina
1246;Potraživanja za kamate od povezanih osoba (koje nisu grupa ni sudjelujući interesi)
125;Potraživanja za predujmove za usluge (koje nisu u svezi sa zalihama i dugotr. imov.)
1250;Potraživanja za predujmljene usluge s PDV-om
1251;Potraživanja za predujmljene usluge bez PDV-a (npr. graditeljske)
